epoch,classification_accuracy,classification_loss,loss,lr,regression_loss,regression_mae,regression_rmse,val_classification_accuracy,val_classification_loss,val_loss,val_regression_loss,val_regression_mae,val_regression_rmse
0,0.9801982045173645,0.08118978142738342,0.1258055716753006,0.001,0.12165647745132446,0.35735902190208435,0.5463578701019287,0.9874441027641296,0.07094959169626236,0.10046199709177017,0.0747247040271759,0.24713388085365295,0.44581183791160583
1,0.9876581430435181,0.06892210990190506,0.1042807325720787,0.001,0.09488825500011444,0.3059781789779663,0.4884186089038849,0.9874441027641296,0.06850092858076096,0.0965571478009224,0.07068712264299393,0.23859824240207672,0.4354279637336731
2,0.9876307249069214,0.0658607929944992,0.09953775256872177,0.001,0.09030300378799438,0.2964014708995819,0.47782427072525024,0.9874441027641296,0.06792569905519485,0.09527917951345444,0.068536177277565,0.232400581240654,0.43016985058784485
3,0.9875484704971313,0.06456131488084793,0.09747756272554398,0.001,0.0882001593708992,0.29135632514953613,0.47280624508857727,0.9874441027641296,0.06690182536840439,0.09427197277545929,0.06893335282802582,0.2363041490316391,0.43041297793388367
4,0.9874753355979919,0.062075674533843994,0.09426140785217285,0.001,0.08659380674362183,0.2876659333705902,0.46930333971977234,0.9874064922332764,0.06633347272872925,0.09287932515144348,0.06637514382600784,0.22862407565116882,0.42413923144340515
5,0.9873656034469604,0.061173927038908005,0.09295959025621414,0.001,0.08556093275547028,0.285491943359375,0.466821551322937,0.987143337726593,0.0663270503282547,0.09221699088811874,0.06419079750776291,0.21956047415733337,0.41870808601379395
6,0.9871187806129456,0.059333715587854385,0.09074036031961441,0.001,0.08491086214780807,0.28373560309410095,0.465168833732605,0.9840983152389526,0.06894418597221375,0.09540650248527527,0.06522626429796219,0.22463588416576385,0.4200194180011749
7,0.9866890907287598,0.05813545361161232,0.08927161991596222,0.001,0.08440899848937988,0.28249961137771606,0.46379488706588745,0.9860155582427979,0.06575275957584381,0.09202352911233902,0.06565174460411072,0.22348657250404358,0.42231833934783936
8,0.9869816303253174,0.056316740810871124,0.08712954819202423,0.001,0.08393709361553192,0.2817862331867218,0.4629700779914856,0.9868425726890564,0.06658796966075897,0.09308205544948578,0.06611772626638412,0.22863277792930603,0.42270734906196594
9,0.9868079423904419,0.054326266050338745,0.08469949662685394,0.001,0.08313529938459396,0.2796664834022522,0.46092766523361206,0.9857900142669678,0.067484050989151,0.09329940378665924,0.06355644762516022,0.21973346173763275,0.41575145721435547
10,0.9863234162330627,0.052956949919462204,0.08317748457193375,0.001,0.0830824226140976,0.2796805202960968,0.4608272910118103,0.9862787127494812,0.07337168604135513,0.09961551427841187,0.06302212178707123,0.2163236439228058,0.4155808389186859
11,0.9860948324203491,0.04925663024187088,0.07876637578010559,0.0005,0.08194725960493088,0.27634677290916443,0.4583694040775299,0.9846246242523193,0.07278762012720108,0.09861570596694946,0.06183096393942833,0.21142104268074036,0.4126504361629486
12,0.9859394431114197,0.04776887223124504,0.07688696682453156,0.0005,0.0811370387673378,0.2748187780380249,0.4563339948654175,0.9857524037361145,0.07298530638217926,0.09883122891187668,0.0618244931101799,0.2109556496143341,0.41239896416664124
13,0.98561030626297,0.04599232226610184,0.07493071258068085,0.0005,0.0811304971575737,0.275294691324234,0.4561329782009125,0.9832713007926941,0.07486739754676819,0.10083988308906555,0.06161917373538017,0.21032752096652985,0.411803662776947
14,0.9855920672416687,0.04273688793182373,0.07122756540775299,0.00025,0.08072318136692047,0.2739526927471161,0.45516231656074524,0.9827449917793274,0.07841815054416656,0.10461746901273727,0.06119188293814659,0.20892684161663055,0.4108394384384155
15,0.9845772981643677,0.04176853597164154,0.0700920894742012,0.00025,0.08048888295888901,0.27327680587768555,0.45476725697517395,0.9830081462860107,0.08076683431863785,0.10724057257175446,0.061323538422584534,0.2092285007238388,0.411236047744751
