epoch,loss,lr,mae,rmse,val_loss,val_mae,val_rmse
0,0.21255704760551453,0.001,0.2352098673582077,0.46103888750076294,0.17549727857112885,0.17978787422180176,0.41892388463020325
1,0.18089622259140015,0.001,0.20729190111160278,0.42531901597976685,0.16963663697242737,0.1728784441947937,0.41186973452568054
2,0.17614521086215973,0.001,0.20221011340618134,0.4196966290473938,0.16830046474933624,0.16874082386493683,0.4102443754673004
3,0.17326675355434418,0.001,0.19911830127239227,0.41625308990478516,0.16617535054683685,0.16799841821193695,0.40764614939689636
4,0.17132700979709625,0.001,0.19678442180156708,0.41391679644584656,0.16444621980190277,0.16874772310256958,0.4055197536945343
5,0.16916586458683014,0.001,0.1939561814069748,0.4112977385520935,0.16379080712795258,0.16736957430839539,0.4047107994556427
6,0.16807180643081665,0.001,0.19249269366264343,0.4099656343460083,0.16477221250534058,0.1723635345697403,0.40592145919799805
7,0.16623052954673767,0.001,0.19046258926391602,0.40771380066871643,0.1640702188014984,0.17092400789260864,0.40505585074424744
8,0.1651349663734436,0.001,0.18900339305400848,0.4063679873943329,0.16494518518447876,0.17497417330741882,0.4061344563961029
9,0.1632780283689499,0.0005,0.1869184821844101,0.40407684445381165,0.16418446600437164,0.1723928302526474,0.40519681572914124
10,0.16171224415302277,0.0005,0.1860600709915161,0.40213465690612793,0.16413745284080505,0.17425568401813507,0.4051387906074524
11,0.1615487039089203,0.0005,0.18594317138195038,0.4019310474395752,0.1647382527589798,0.17449796199798584,0.40587958693504333
